N	K	TruePrice	CM	FST	COS	MCFT1	MCFT2	SET
1024	115.2	17.9774	17.985	17.9798	17.9774	17.9692	17.9654	2
1024	116	18.4386	18.4406	18.4423	18.4386	18.4486	18.4261	2
1024	116.8	18.9049	18.9105	18.9068	18.9049	18.9258	18.9205	2
1024	117.6	19.3763	19.3847	19.3801	19.3763	19.428	19.3916	2
1024	118.4	19.8527	19.859	19.8539	19.8527	19.9108	19.8685	2
1024	119.2	20.3341	20.3349	20.3379	20.3341	20.3755	20.3319	2
1024	120	20.8202	20.8271	20.8219	20.8202	20.8668	20.8177	2
2048	80	3.71703	3.71837	3.71725	3.71703	3.39746	3.72162	2
2048	80.8	3.90209	3.90701	3.90264	3.90209	3.58882	3.90701	2
2048	81.6	4.09333	4.09566	4.09381	4.09333	3.77885	4.09386	2
2048	82.4	4.29085	4.29489	4.29113	4.29085	3.98233	4.29105	2
2048	83.2	4.49468	4.49961	4.49528	4.49468	4.19936	4.50098	2
2048	84	4.7049	4.70547	4.70546	4.7049	4.41494	4.71139	2
2048	84.8	4.92156	4.92707	4.92173	4.92156	4.63951	4.91902	2
2048	85.6	5.14471	5.14867	5.14528	5.14471	4.86427	5.142	2
2048	86.4	5.37438	5.37752	5.37506	5.37438	5.10291	5.37163	2
2048	87.2	5.61063	5.61674	5.61113	5.61063	5.35025	5.61727	2
2048	88	5.85348	5.85597	5.85377	5.85348	5.6031	5.86001	2
2048	88.8	6.10296	6.10779	6.1036	6.10296	5.85292	6.1061	2
2048	89.6	6.3591	6.36532	6.35985	6.3591	6.12044	6.36232	2
2048	90.4	6.62192	6.62286	6.62256	6.62192	6.38542	6.61836	2
2048	91.2	6.89142	6.89733	6.89177	6.89142	6.6597	6.88802	2
