N	K	TruePrice	CM	FST	COS	SET
512	115.2	3.29608	3.29384	3.30342	3.29607	2
512	116	3.02863	3.02638	3.04023	3.02863	2
512	116.8	2.77694	2.77469	2.77704	2.77693	2
512	117.6	2.54071	2.53848	2.5203	2.5407	2
512	118.4	2.31959	2.31735	2.32247	2.31959	2
512	119.2	2.1132	2.11095	2.12464	2.1132	2
512	120	1.92109	1.91885	1.92682	1.9211	2
1024	80	27.7284	27.7284	27.7285	27.7284	2
1024	80.8	27.0212	27.0212	27.0209	27.0212	2
1024	81.6	26.316	26.316	26.3161	26.316	2
1024	82.4	25.613	25.613	25.6132	25.613	2
1024	83.2	24.9126	24.9126	24.9122	24.9126	2
1024	84	24.2149	24.2149	24.2152	24.2149	2
1024	84.8	23.5202	23.5202	23.5204	23.5202	2
1024	85.6	22.8289	22.8289	22.8285	22.8289	2
1024	86.4	22.1411	22.1411	22.1415	22.1411	2
1024	87.2	21.4572	21.4572	21.4571	21.4572	2
1024	88	20.7776	20.7776	20.7776	20.7776	2
1024	88.8	20.1025	20.1025	20.103	20.1025	2
1024	89.6	19.4324	19.4324	19.4313	19.4324	2
1024	90.4	18.7677	18.7677	18.7682	18.7677	2
1024	91.2	18.1087	18.1087	18.1088	18.1087	2
1024	92	17.4559	17.4559	17.4557	17.4559	2
1024	92.8	16.8097	16.8097	16.8105	16.8097	2
1024	93.6	16.1705	16.1705	16.1688	16.1705	2
1024	94.4	15.5389	15.5389	15.5399	15.5389	2
1024	95.2	14.9154	14.9154	14.9149	14.9154	2
1024	96	14.3003	14.3003	14.3007	14.3003	2
1024	96.8	13.6942	13.6942	13.6948	13.6942	2
1024	97.6	13.0976	13.0976	13.097	13.0976	2
1024	98.4	12.5111	12.5111	12.5123	12.5111	2
1024	99.2	11.935	11.935	11.9328	11.935	2
1024	100	11.37	11.37	11.3716	11.37	2
1024	100.8	10.8166	10.8166	10.814	10.8166	2
1024	101.6	10.2752	10.2752	10.2768	10.2752	2
1024	102.4	9.74633	9.74633	9.74494	9.74633	2
1024	103.2	9.23048	9.23049	9.23192	9.23048	2
1024	104	8.72812	8.72812	8.72762	8.72812	2
1024	104.8	8.23967	8.23967	8.24078	8.23967	2
1024	105.6	7.76555	7.76555	7.76568	7.76555	2
1024	106.4	7.30614	7.30615	7.30695	7.30614	2
1024	107.2	6.86181	6.86181	6.86236	6.86181	2
1024	108	6.43287	6.43287	6.43348	6.43287	2
1024	108.8	6.0196	6.01962	6.02034	6.0196	2
1024	109.6	5.62225	5.62226	5.62285	5.62225	2
1024	110.4	5.24099	5.24099	5.24169	5.24099	2
1024	111.2	4.87599	4.876	4.87683	4.87599	2
1024	112	4.52732	4.52734	4.52769	4.52732	2
1024	112.8	4.19504	4.19505	4.19633	4.19504	2
1024	113.6	3.87913	3.87913	3.87883	3.87913	2
1024	114.4	3.57952	3.57954	3.58139	3.57952	2
1024	115.2	3.29608	3.2961	3.29468	3.29608	2
1024	116	3.02863	3.02863	3.03108	3.02863	2
1024	116.8	2.77694	2.77695	2.77394	2.77694	2
1024	117.6	2.54071	2.54073	2.54354	2.54071	2
1024	118.4	2.31959	2.31961	2.31445	2.31959	2
1024	119.2	2.1132	2.1132	2.11603	2.1132	2
1024	120	1.92109	1.9211	1.91761	1.92109	2
2048	80	27.7284	27.7284	27.7284	27.7284	2
2048	80.8	27.0212	27.0212	27.0212	27.0212	2
2048	81.6	26.316	26.316	26.316	26.316	2
2048	82.4	25.613	25.613	25.613	25.613	2
2048	83.2	24.9126	24.9126	24.9127	24.9126	2
2048	84	24.2149	24.2149	24.2149	24.2149	2
2048	84.8	23.5202	23.5202	23.5201	23.5202	2
2048	85.6	22.8289	22.8289	22.8289	22.8289	2
2048	86.4	22.1411	22.1411	22.1412	22.1411	2
2048	87.2	21.4572	21.4572	21.4572	21.4572	2
2048	88	20.7776	20.7776	20.7774	20.7776	2
2048	88.8	20.1025	20.1025	20.1026	20.1025	2
2048	89.6	19.4324	19.4324	19.4326	19.4324	2
2048	90.4	18.7677	18.7677	18.7677	18.7677	2
2048	91.2	18.1087	18.1087	18.1085	18.1087	2
2048	92	17.4559	17.4559	17.4557	17.4559	2
2048	92.8	16.8097	16.8097	16.8098	16.8097	2
2048	93.6	16.1705	16.1705	16.1708	16.1705	2
2048	94.4	15.5389	15.5389	15.5391	15.5389	2
2048	95.2	14.9154	14.9154	14.9154	14.9154	2
2048	96	14.3003	14.3003	14.2999	14.3003	2
2048	96.8	13.6942	13.6942	13.6938	13.6942	2
2048	97.6	13.0976	13.0976	13.0976	13.0976	2
2048	98.4	12.5111	12.5111	12.5112	12.5111	2
2048	99.2	11.935	11.935	11.9354	11.935	2
2048	100	11.37	11.37	11.3704	11.37	2
2048	100.8	10.8166	10.8166	10.817	10.8166	2
2048	101.6	10.2752	10.2752	10.2755	10.2752	2
2048	102.4	9.74633	9.74633	9.74648	9.74633	2
2048	103.2	9.23048	9.23049	9.23044	9.23048	2
2048	104	8.72812	8.72812	8.72785	8.72812	2
2048	104.8	8.23967	8.23967	8.23916	8.23967	2
2048	105.6	7.76555	7.76555	7.76481	7.76555	2
2048	106.4	7.30614	7.30615	7.30518	7.30614	2
2048	107.2	6.86181	6.86181	6.86066	6.86181	2
2048	108	6.43287	6.43287	6.43161	6.43287	2
2048	108.8	6.0196	6.01962	6.01836	6.0196	2
2048	109.6	5.62225	5.62226	5.62097	5.62225	2
2048	110.4	5.24099	5.24099	5.23962	5.24099	2
2048	111.2	4.87599	4.876	4.87468	4.87599	2
2048	112	4.52732	4.52734	4.52617	4.52732	2
2048	112.8	4.19504	4.19505	4.1941	4.19504	2
2048	113.6	3.87913	3.87913	3.87844	3.87913	2
2048	114.4	3.57952	3.57954	3.57911	3.57952	2
2048	115.2	3.29608	3.2961	3.29596	3.29608	2
2048	116	3.02863	3.02863	3.0288	3.02863	2
2048	116.8	2.77694	2.77695	2.77735	2.77694	2
2048	117.6	2.54071	2.54073	2.5413	2.54071	2
2048	118.4	2.31959	2.31961	2.32029	2.31959	2
2048	119.2	2.1132	2.1132	2.1139	2.1132	2
2048	120	1.92109	1.9211	1.92166	1.92109	2
4096	80	27.7284	27.7284	27.7285	27.7284	2
4096	80.8	27.0212	27.0212	27.0212	27.0212	2
4096	81.6	26.316	26.316	26.3159	26.316	2
4096	82.4	25.613	25.613	25.613	25.613	2
4096	83.2	24.9126	24.9126	24.9126	24.9126	2
4096	84	24.2149	24.2149	24.2149	24.2149	2
4096	84.8	23.5202	23.5202	23.5203	23.5202	2
4096	85.6	22.8289	22.8289	22.8288	22.8289	2
4096	86.4	22.1411	22.1411	22.1411	22.1411	2
4096	87.2	21.4572	21.4572	21.4572	21.4572	2
4096	88	20.7776	20.7776	20.7776	20.7776	2
4096	88.8	20.1025	20.1025	20.1025	20.1025	2
4096	89.6	19.4324	19.4324	19.4325	19.4324	2
4096	90.4	18.7677	18.7677	18.7676	18.7677	2
4096	91.2	18.1087	18.1087	18.1087	18.1087	2
